10 30 50 -0.0283096
10 30 50 -0.416725
10 30 50 0.117022
10 30 50 -0.456834
10 30 50 0.249472
10 30 50 -0.555993
10 30 50 0.438436
10 30 50 -0.400377
10 30 50 -0.194098
10 30 50 -0.505986
10 30 50 -0.177539
10 30 50 -0.249975
10 30 50 -0.103017
10 30 50 -0.223463
10 30 50 -0.0551002
10 30 50 -0.229759
10 30 50 0.0760119
10 30 50 -0.300391
10 30 50 -0.498131
10 30 50 -0.315957
10 30 50 -0.35924
10 30 50 -0.0723546
10 30 50 -0.384177
10 30 50 0.0889464
10 30 50 -0.548609
10 30 50 0.419546
10 30 50 -0.882302
10 30 50 0.645585
10 30 50 -0.87878
10 30 50 -0.068714
10 30 50 -0.516263
10 30 50 0.10471
10 30 50 -0.545681
10 30 50 0.191605
10 30 50 -0.538973
10 30 50 0.186998
10 30 50 -0.268849
10 30 50 -0.56364
10 30 50 -1.57529
10 30 50 -0.256805
10 30 50 -1.32596
10 30 50 0.319057
10 30 50 -1.77165
10 30 50 1.14304
10 30 50 -2.78267
10 30 50 2.81076
10 30 50 -4.54693
10 30 50 3.6654
20 40 60 0.000400656
20 40 60 0
20 40 60 -0.000175132
20 40 60 -0.000253233
20 40 60 -0.000302198
20 40 60 -0.000336395
20 40 60 -0.000361449
20 40 60 -0.000380175
20 40 60 -0.000394199
20 40 60 -0.000404555
20 40 60 0.000175132
20 40 60 0
20 40 60 -0.000117876
20 40 60 -0.000188357
20 40 60 -0.000236279
20 40 60 -0.000271357
20 40 60 -0.000298087
20 40 60 -0.000318873
20 40 60 -0.000335148
20 40 60 -0.00034784
20 40 60 7.96346e-05
20 40 60 0
20 40 60 -7.06402e-05
20 40 60 -0.000125275
20 40 60 -0.000166839
20 40 60 -0.000199032
20 40 60 -0.000224427
20 40 60 -0.000244699
20 40 60 -0.000260959
20 40 60 -0.000273971
20 40 60 5.11504e-05
20 40 60 0
20 40 60 -4.82381e-05
20 40 60 -8.98223e-05
20 40 60 -0.000124181
20 40 60 -0.000152214
